 i tirsdags	2458
 i torsdags	2459
-agtigt	266
-bakke	609
-behandler	1843
-borg	244
-hed	1712
-idiot	1159
-inde	83
-kasse	609
-kollegium	111
-løs	263
-mester	497
-passer	1248
-posten	312
-s	77;1365;1711
-side	1791
-sikring	533;2958
-værk	948
endnu	1253
endnu (stadig)	403
endnu ikke have	575
energi	1140
energisk	1140
eneste	669
eng	135
engagement	2163
engageret	2163
engang	363
engel	428
engelsk	484
englænder	484
enhver	605
enig	642
enke	800
enkel	402
enlig	800
enogfirs	1598
enogfyrre	1536
enoghalvfems	1537
enoghalvfjerds	1538
enoghalvtreds	1539
enogtredive	1540;1541
enogtres	1542
enogtyve	1481;1482
enorm	1450
ens	16;17;1082
ensformig	16
ensom	800
enten eller	12
entusiasme	2163
entusiastisk	2163
episode	81
er	595;1764;1764
er ikke	598
er ofte	2156
erfaring	1002;1755
erhverv	2089
erkende	1169
erkendelse	1169
erobre	731
erstatning	3048
erstatte (med penge)	659
esbjergenser	1659
esbjergensisk	1659
essay	703
estisk	1605
estlænder	1605
et	669
et (art.)	76
et eller andet	12
et hundrede	1122
et stykke tid	1823
et år	333
et øjeblik	693
etablere	1202
etage	1296
etc.	959
etik	2164
etiopier	1625
etiopisk	1625
etisk	2164
etnisk	3069
etymologi	703
europæer	1166
europæisk	1166
evakuere	1268
evaluere	397
eventuel	771;795
eventuelt	771
eventyr	176;703;813
evig	403
evne	1342
evolution	3070
f	884;2370
fabrik	948
facit	975
facon	1269
fader	306
fag	347
faglig	347
fair	656;1082
fakta	436
faktisk	21;238;266;436
falde	1098
falde for (nogen eller noget)	3074
falde om	1098
falde til	583
falde til ro	583
faldende (om antal)	1258
fallit	790
falme	547
falsk	116;116
familie	816;1288
fandeme	3018
fandens	3018
fange	442;443;742
fange (vb.)	742
fantasere	176
fantasi	176
fantastisk	315;828
fantastisk god	255
fantastisk meget	828
far	306
fare	934;935
farfar	1091
farlig	934;935
farm	368
farmor	744;1360
fart	298
farve	980;981;981
farvel	1299
fast	131;131
faste	338
fastelavn	1706
faster	1958
fastholde	131
fattig	402
favorit	255
feber	973
februar	1191;2951
fed	772;974;2971
fedt	772;843;1065
fedt (godt)	1813
fedte for	401
fedtet	905
feje	1294;2060
fejl	915
fejre	400;517
felt	135;135;440
fem	1162
fem dage efter	1440
fem dage før	1437
fem dage inden	1437
fem dage senere	1440
fem hundrede	1529
fem måneder	1351
fem timer	1473
fem år	1309
femogfirs	1543
femogfyrre	1544
femoghalvfems	1545
femoghalvfjerds	1546;1547
femoghalvtreds	1491
femogtredive	1548
femogtres	1549
femogtyve	1487;1488;1599
femte	1162
femte etage	1278
femte sal	1278
femten	1418;1434
ferie	599
fersk	256
fest	400
feste	400
festival	517
fiasko	2162
figur	1168;1168;1168
fikst	1065
filial	92
filippiner	1628
filippinsk	1628
film	310
